train,val
1.5966815786361694,1.379127243757248
1.141969337940216,1.0727857226133346
0.9355290358066559,1.0042963707447052
0.8110752981901169,1.2790134400129318
0.7295053485035896,0.8985060727596283
0.6695880982279777,0.9026170992851257
0.6242355634570121,1.0614620912075043
0.588679893553257,0.7762373757362365
0.5537429512739181,0.6966363418102265
0.5294515208601952,0.6708195137977601
0.5092859206199646,0.6775907319784165
0.4844587905704975,0.5253465402126313
0.46854984951019285,0.5221224623918533
0.44631197142601015,0.6017223626375199
0.43334905126690865,0.519101919233799
0.4217728761434555,0.5477125197649002
0.410170703291893,0.5555561795830727
0.39736735638976095,0.48670777648687363
0.383648717880249,0.5080523186922073
0.3741275901198387,0.5049178782105446
0.36140777626633647,0.4860630701482296
0.3572686058878899,0.4945232045650482
0.3428564901649952,0.5236340200901032
0.3332699106633663,0.47341935217380526
0.3315653911679983,0.4876189863681793
