train,val
1.4779385759830475,1.205369011759758
1.067751484632492,1.3752028739452362
0.9069954589605331,1.000905330181122
0.8020822011232376,0.8350005054473877
0.71766321849823,0.8672000539302825
0.6590280697345734,0.6665534016489982
0.6150244315266609,0.8539591056108474
0.5799808280467987,0.7067225646972656
0.5444190844297409,0.6644469693303108
0.5185010597109795,0.6358768755197525
0.49537279626727104,0.6952243021130562
0.47455966329574584,0.5393080732226372
0.4486254320144653,0.6099233341217041
0.4350415464043617,0.5607570081949234
0.42071548536419867,0.5161365759372711
0.4044007407724857,0.5166457112133503
0.3893939690589905,0.5558480104804039
0.37894867432117463,0.6064878009259701
0.3671701603233814,0.5704424700140953
0.35700474864244464,0.48290120050311086
0.3467542523294687,0.4937556478381157
0.33466571047902105,0.44482185289263726
0.33082371377944947,0.4782865871489048
0.3158111427128315,0.6310312631726265
0.31012056265771387,0.44934592008590696
